split_seed,train_seed,task,shots,support_resample,episode_hash,primary_oracle,top1_expert,top2_expert,top1_top2_accuracy_margin,exact_accuracy_tie,epsilon_accuracy,epsilon_optimal_size,epsilon_optimal_experts
6,4,octmnist,5,5,036fb668089be485b1a2bc07faf82ac5c3486b8bafe29ea97cfda667b2cbc2df,source_bloodmnist,source_bloodmnist,source_pathmnist,0.025000035762786865,False,0.01,1,source_bloodmnist
6,4,octmnist,5,6,df5afc31c1ee9046f6403b578cec65c7c63eb71bbb76f4074725426288fc11f8,source_tissuemnist,source_tissuemnist,source_pathmnist,0.03749999403953552,False,0.01,1,source_tissuemnist
6,4,octmnist,5,7,c6dc1fbb4fd6c6df5b0935dae8a4e283ab489dc4fd9539ac10b7815c37bb107c,source_tissuemnist,source_tissuemnist,source_bloodmnist,0.025000005960464478,False,0.01,1,source_tissuemnist
6,4,octmnist,5,8,4104a3180a33cac02d02bc58fc82803c8ab6dbfc7f88131f35f345facd5db7f5,shared,shared,source_tissuemnist,0.012499988079071045,False,0.01,1,shared
6,4,octmnist,5,9,008bd21cf5878fd8233ee879665f81f677785699e80d9a557903024dd7bfa340,source_bloodmnist,source_bloodmnist,source_pathmnist,0.012499988079071045,False,0.01,1,source_bloodmnist
6,4,octmnist,16,0,93b382a822f15b3d6acd4920c26d267f09e851245733ef79c043132a42a1133e,source_bloodmnist,source_bloodmnist,source_tissuemnist,0.025000035762786865,False,0.01,1,source_bloodmnist
6,4,octmnist,16,1,eec7611c6f05322bb623a97a9d5aaa8a8614792806b9046df722c5e948d62587,source_pathmnist,source_pathmnist,source_bloodmnist,0.025000005960464478,False,0.01,1,source_pathmnist
6,4,octmnist,16,2,a65bc8f2c939d5ba9abf3febd5a0d86c07f2bf942b553d44a823484057f60b37,source_bloodmnist,source_bloodmnist,source_pneumoniamnist,0.012499988079071045,False,0.01,1,source_bloodmnist
6,4,octmnist,16,3,36a40519e321e01185c9602957e3748b04987e430ec0452552d83fee4f26e417,source_bloodmnist,source_bloodmnist,source_pneumoniamnist,0.01250004768371582,False,0.01,1,source_bloodmnist
6,4,octmnist,16,4,9bd0ac3684e8d98d62fc2c9eb4e9a716f191c0bf0367bd0b98a3d7846104c0dd,source_pathmnist,source_pathmnist,shared,0.012499988079071045,False,0.01,1,source_pathmnist
6,4,octmnist,16,5,aec22f3800d29161e7421ffe33187afceb05203c16a3c63684a3303af610d7f6,shared,shared,source_pathmnist,0.012499988079071045,False,0.01,1,shared
6,4,octmnist,16,6,d921955d64c45141672e5f74ce63967e7ddee3f4c779158df73aae6ca5c3bc5e,source_pneumoniamnist,source_pneumoniamnist,source_organmnist,0.012499988079071045,False,0.01,1,source_pneumoniamnist
6,4,octmnist,16,7,20e260755a18d8f1592c31ed4e55470b06f9ea2306d9b9032dbed55d206ea5ec,source_bloodmnist,source_bloodmnist,source_tissuemnist,0.0,True,0.01,2,source_bloodmnist|source_tissuemnist
6,4,octmnist,16,8,db5cab24a21370a8fd352b14d01d190ac36687f99c75288c218df0605809b6bf,source_tissuemnist,source_tissuemnist,source_bloodmnist,0.050000011920928955,False,0.01,1,source_tissuemnist
6,4,octmnist,16,9,7c7562151315144a3db7229d725e7e8cb56813566d3d1c1758b1d8ccc6615db2,source_bloodmnist,source_bloodmnist,source_pneumoniamnist,0.012499988079071045,False,0.01,1,source_bloodmnist
36,2,bloodmnist,1,0,2c5df2dfe6991d7ba5e81f12c40d81d1c55102deab1e6b536cb0d9bcedf96b9c,source_dermamnist,source_dermamnist,shared,0.03125,False,0.01,1,source_dermamnist
36,2,bloodmnist,1,1,47dadb207aef0e2ca235a778b65a117d8ff063908ea241d7305380aff95fd128,shared,shared,source_octmnist,0.012500017881393433,False,0.01,1,shared
36,2,bloodmnist,1,2,710f2b57d55c2bead07d1b74d487cdc6c8e49364ac2f6d82478292eb023b7b06,source_organmnist,source_organmnist,source_dermamnist,0.018749982118606567,False,0.01,1,source_organmnist
36,2,bloodmnist,1,3,dab5751c275e4ccd3cd8b0bdc3df331a738d28d1fad35c5e97e7ebd729644c0b,source_dermamnist,source_dermamnist,source_tissuemnist,0.04375001788139343,False,0.01,1,source_dermamnist
36,2,bloodmnist,1,4,97ae595c4c8939e80fac4621bcd4dc3f79a18e525123c497e139b6fe0bcdc6ad,source_dermamnist,source_dermamnist,shared,0.018750011920928955,False,0.01,1,source_dermamnist
36,2,bloodmnist,1,5,f104944d4b4fec644d462a55de53e987bddeb08da201b704062883face1d56a6,source_organmnist,source_organmnist,source_dermamnist,0.01874999701976776,False,0.01,1,source_organmnist
